epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,2199.32,0.7663,0.44046,0.98211,0.98294,0.97884,0.995,0.8448,0.82427,0.33288,0.9431,0.000338198,0.000338198,0.000338198
122,2217.98,0.77803,0.42996,0.98475,0.98537,0.97329,0.995,0.84369,0.82263,0.32835,0.94502,0.000334075,0.000334075,0.000334075
123,2238.09,0.76461,0.44037,0.98189,0.98499,0.97579,0.995,0.84003,0.83795,0.32173,0.94535,0.000329951,0.000329951,0.000329951
124,2258.6,0.77623,0.4386,0.98491,0.98484,0.97556,0.995,0.8387,0.80551,0.32274,0.94468,0.000325828,0.000325828,0.000325828
125,2280.7,0.77469,0.44636,0.98927,0.98208,0.96894,0.995,0.8566,0.77111,0.32144,0.93366,0.000321705,0.000321705,0.000321705
126,2301.61,0.76171,0.4258,0.99117,0.98304,0.97577,0.995,0.84416,0.83266,0.34265,0.95167,0.000317581,0.000317581,0.000317581
127,2320.48,0.76837,0.43671,0.98368,0.9874,0.9757,0.995,0.84526,0.78805,0.32374,0.93784,0.000313458,0.000313458,0.000313458
128,2342.28,0.75813,0.4287,0.98136,0.97985,0.97888,0.995,0.83425,0.84349,0.32736,0.9458,0.000309335,0.000309335,0.000309335
129,2367.98,0.76434,0.43841,0.98651,0.98563,0.98905,0.995,0.82854,0.87524,0.33572,0.94549,0.000305211,0.000305211,0.000305211
130,2395.5,0.77267,0.43971,0.98891,0.97142,0.99497,0.995,0.82681,0.8506,0.32242,0.9451,0.000301088,0.000301088,0.000301088
131,2422.88,0.76593,0.44051,0.99132,0.98616,0.97961,0.995,0.84948,0.84746,0.32978,0.94576,0.000296964,0.000296964,0.000296964
132,2450.9,0.75245,0.42551,0.97678,0.98675,0.98747,0.995,0.833,0.83091,0.31682,0.94251,0.000292841,0.000292841,0.000292841
133,2473.58,0.76027,0.43768,0.97829,0.98381,0.97348,0.995,0.8534,0.79336,0.31397,0.92365,0.000288718,0.000288718,0.000288718
134,2499.24,0.7472,0.41493,0.97808,0.98362,1,0.995,0.84737,0.79501,0.31019,0.9285,0.000284594,0.000284594,0.000284594
135,2520.5,0.76004,0.4289,0.99213,0.98373,0.98844,0.995,0.8353,0.82725,0.32256,0.93785,0.000280471,0.000280471,0.000280471
136,2540.5,0.76039,0.43813,0.98791,0.98592,0.97859,0.995,0.82841,0.86426,0.32839,0.94748,0.000276348,0.000276348,0.000276348
137,2558.2,0.76388,0.43495,0.98514,0.9868,0.9741,0.995,0.82204,0.86956,0.33438,0.9544,0.000272224,0.000272224,0.000272224
138,2576.25,0.76551,0.43624,0.98473,0.98413,0.98299,0.995,0.84006,0.8007,0.32627,0.93257,0.000268101,0.000268101,0.000268101
139,2596.96,0.74716,0.41707,0.98024,0.9908,0.99749,0.995,0.82226,0.8762,0.32975,0.96074,0.000263978,0.000263978,0.000263978
140,2616.65,0.74004,0.42602,0.97891,0.98198,0.98774,0.995,0.83052,0.84584,0.32264,0.94269,0.000259854,0.000259854,0.000259854
141,2637.54,0.76549,0.42833,0.98524,0.98564,0.98824,0.995,0.83806,0.84466,0.34197,0.95555,0.000255731,0.000255731,0.000255731
142,2658.63,0.75557,0.42503,0.98626,0.98428,0.98782,0.995,0.84608,0.78629,0.31757,0.93697,0.000251608,0.000251608,0.000251608
143,2677.96,0.74647,0.41681,0.97533,0.98439,0.98522,0.995,0.843,0.81053,0.32705,0.94226,0.000247484,0.000247484,0.000247484
144,2696.66,0.73554,0.41099,0.97636,0.98573,0.98681,0.995,0.84092,0.84103,0.32712,0.94985,0.000243361,0.000243361,0.000243361
145,2715.35,0.73843,0.42306,0.97405,0.98562,0.98449,0.995,0.85539,0.79482,0.32895,0.93498,0.000239238,0.000239238,0.000239238
146,2732.97,0.74228,0.40688,0.96935,0.98238,0.98438,0.99333,0.83569,0.85691,0.33888,0.9608,0.000235114,0.000235114,0.000235114
147,2750.48,0.75253,0.42879,0.97733,0.98662,0.97857,0.995,0.85223,0.78589,0.3125,0.93617,0.000230991,0.000230991,0.000230991
148,2768.83,0.7388,0.41478,0.97534,0.98192,0.97491,0.995,0.83031,0.83546,0.33063,0.94608,0.000226868,0.000226868,0.000226868
149,2788.29,0.73419,0.41414,0.9735,0.98328,0.97598,0.995,0.84634,0.80403,0.30979,0.93104,0.000222744,0.000222744,0.000222744
150,2810.6,0.7204,0.40343,0.97173,0.98444,0.97412,0.995,0.85263,0.81185,0.32064,0.94222,0.000218621,0.000218621,0.000218621
151,2832.34,0.71288,0.39637,0.96551,0.98714,0.97526,0.995,0.84074,0.7874,0.318,0.92779,0.000214497,0.000214497,0.000214497
152,2852.96,0.72069,0.40508,0.96629,0.98428,0.97538,0.995,0.82067,0.82775,0.3266,0.93659,0.000210374,0.000210374,0.000210374
153,2873.6,0.72941,0.4047,0.97107,0.98539,0.9732,0.99333,0.82018,0.8695,0.34546,0.95799,0.000206251,0.000206251,0.000206251
154,2892.56,0.71903,0.40278,0.96478,0.98385,0.9742,0.995,0.83416,0.85463,0.32209,0.94768,0.000202127,0.000202127,0.000202127
155,2915.32,0.71488,0.40139,0.96222,0.97881,0.97238,0.995,0.83688,0.81494,0.34484,0.9352,0.000198004,0.000198004,0.000198004
156,2937.18,0.71114,0.40707,0.96909,0.98292,0.97278,0.995,0.82676,0.85123,0.355,0.94955,0.000193881,0.000193881,0.000193881
157,2957.45,0.71292,0.39372,0.96619,0.98386,0.97309,0.995,0.81788,0.88929,0.34613,0.96296,0.000189757,0.000189757,0.000189757
158,2984.7,0.71617,0.40536,0.96253,0.98574,0.97273,0.995,0.82113,0.90068,0.34049,0.97552,0.000185634,0.000185634,0.000185634
159,3015.42,0.7197,0.39875,0.9673,0.97532,0.97322,0.995,0.83974,0.83214,0.32694,0.94552,0.000181511,0.000181511,0.000181511
160,3043.24,0.71214,0.39218,0.96742,0.98486,0.97569,0.995,0.84826,0.81086,0.31426,0.94238,0.000177387,0.000177387,0.000177387
161,3069.64,0.7041,0.39577,0.9641,0.98161,0.97525,0.995,0.84098,0.77582,0.31193,0.9272,0.000173264,0.000173264,0.000173264
162,3091.09,0.7008,0.39661,0.95979,0.98588,0.97195,0.995,0.83959,0.79633,0.32291,0.93376,0.000169141,0.000169141,0.000169141
163,3112.61,0.70355,0.38635,0.96275,0.98674,0.9722,0.995,0.8247,0.84066,0.32945,0.94487,0.000165017,0.000165017,0.000165017
164,3129.84,0.70744,0.39589,0.96055,0.98637,0.97304,0.995,0.841,0.86186,0.32797,0.95143,0.000160894,0.000160894,0.000160894
165,3147.99,0.71014,0.39666,0.96187,0.98909,0.97613,0.995,0.85336,0.80796,0.3149,0.94198,0.000156771,0.000156771,0.000156771
166,3165.18,0.72581,0.39528,0.96598,0.98731,0.9855,0.995,0.84281,0.81433,0.30598,0.93881,0.000152647,0.000152647,0.000152647
167,3186.17,0.69934,0.39316,0.96294,0.9905,0.97301,0.995,0.84729,0.80008,0.33342,0.93631,0.000148524,0.000148524,0.000148524
168,3206.11,0.70056,0.40297,0.96538,0.98875,0.97493,0.995,0.84508,0.8362,0.32546,0.94648,0.000144401,0.000144401,0.000144401
169,3224.71,0.69475,0.38893,0.95524,0.98178,0.97731,0.995,0.84718,0.81199,0.32406,0.93543,0.000140277,0.000140277,0.000140277
170,3245.75,0.70835,0.40073,0.96498,0.98529,0.97516,0.99333,0.85187,0.79399,0.31689,0.9305,0.000136154,0.000136154,0.000136154
171,3266.63,0.70435,0.39281,0.9535,0.98531,0.97462,0.995,0.85332,0.81256,0.31864,0.94293,0.000132031,0.000132031,0.000132031
172,3285.72,0.69206,0.38866,0.95828,0.98718,0.97182,0.995,0.85872,0.81003,0.32718,0.9303,0.000127907,0.000127907,0.000127907
173,3307.1,0.68329,0.38174,0.9504,0.98646,0.97351,0.995,0.85156,0.80558,0.32763,0.93542,0.000123784,0.000123784,0.000123784
